card_number,name,team,designations
1,Aaron Judge,New York Yankees,
10,Jacob Misiorowski,Milwaukee Brewers,RC
20,Vladimir Guerrero Jr.,Toronto Blue Jays,
46,Gunnar Henderson,Baltimore Orioles,
66,Roki Sasaki,Los Angeles Dodgers,
100,Paul Skenes,Pittsburgh Pirates,
123,Francisco Lindor,New York Mets,
138,Jac Caglianone,Kansas City Royals,RC
140,Cal Raleigh,Seattle Mariners,
150,Elly De La Cruz,Cincinnati Reds,
189,Roman Anthony,Boston Red Sox,RC
196,Pete Crow-Armstrong,Chicago Cubs,
200,Shohei Ohtani,Los Angeles Dodgers,
205,Bobby Witt Jr.,Kansas City Royals,
209,Riley Greene,Detroit Tigers,
217,Seiya Suzuki,Chicago Cubs,
219,Rafael Devers,San Francisco Giants,
238,Austin Riley,Atlanta Braves,
242,Juan Soto,New York Mets,
250,Kyle Schwarber,Philadelphia Phillies,
255,Byron Buxton,Minnesota Twins,
257,Ketel Marte,Arizona Diamondbacks,
300,Tarik Skubal,Detroit Tigers,
307,Jeremy Peña,Houston Astros,
308,Jazz Chisholm Jr.,New York Yankees,
324,Lawrence Butler,Athletics,
328,Junior Caminero,Tampa Bay Rays,
333,Fernando Tatis Jr.,San Diego Padres,
349,James Wood,Washington Nationals,
350,Mike Trout,Angels,
