card_number,name,team,designations
GD-1,Elly De La Cruz,Cincinnati Reds,
GD-2,Shohei Ohtani,Los Angeles Dodgers,
GD-3,Javier Báez,Detroit Tigers,
GD-4,Pete Crow-Armstrong,Chicago Cubs,
GD-5,Julio Rodríguez,Seattle Mariners,
GD-6,Ronald Acuña Jr.,Atlanta Braves,
GD-7,Aaron Judge,New York Yankees,
GD-8,Fernando Tatis Jr.,San Diego Padres,
GD-9,Jazz Chisholm Jr.,New York Yankees,
GD-10,Francisco Lindor,New York Mets,
GD-11,Bobby Witt Jr.,Kansas City Royals,
GD-12,Vladimir Guerrero Jr.,Toronto Blue Jays,
GD-13,Gunnar Henderson,Baltimore Orioles,
GD-14,Corbin Carroll,Arizona Diamondbacks,
GD-15,Jackson Chourio,Milwaukee Brewers,
GD-16,Mookie Betts,Los Angeles Dodgers,
GD-17,Matt Chapman,San Francisco Giants,
GD-18,José Ramírez,Cleveland Guardians,
GD-19,Andrew McCutchen,Pittsburgh Pirates,
GD-20,Carlos Correa,Houston Astros,
