card_number,name,team,designations
M-1,Baxter,Arizona Diamondbacks,
M-2,Wally the Green Monster,Boston Red Sox,
M-3,Mascot,Chicago White Sox,
M-4,Dinger,Colorado Rockies,
M-5,Bernie Brewer,Milwaukee Brewers,
M-6,Rosie Red,Cincinnati Reds,
M-7,Mr. Red,Cincinnati Reds,
M-8,Mariner Moose,Seattle Mariners,
M-9,Sluggerrr,Kansas City Royals,
M-10,T.C. Bear,Minnesota Twins,
M-11,Mr. Met,New York Mets,
M-12,Rangers Captain,Texas Rangers,
M-13,Screech,Washington Nationals,
M-14,Mrs. Met,New York Mets,
M-15,Paws,Detroit Tigers,
M-16,Mascot,Athletics,
M-17,Pirate Parrot,Pittsburgh Pirates,
M-18,Clark,Chicago Cubs,
M-19,Phillie Phanatic,Philadelphia Phillies,
M-20,Orbit,Houston Astros,
M-21,Fredbird,St. Louis Cardinals,
M-22,Raymond,Tampa Bay Rays,
M-23,Blooper,Atlanta Braves,
M-24,Mascot,Baltimore Orioles,
M-25,Slider,Cleveland Guardians,
M-26,Tessie,Boston Red Sox,
M-27,Mascot,Milwaukee Brewers,
M-28,ACE,Toronto Blue Jays,
M-29,Swinging Friar,San Diego Padres,
M-30,Billy the Marlin,Miami Marlins,
