card_number,name,team,designations
1,Shohei Ohtani,Los Angeles Dodgers,
2,Dylan Beavers,Baltimore Orioles,RC
3,Justin Verlander,Detroit Tigers,
4,Jose Altuve,Houston Astros,
5,Max Scherzer,Toronto Blue Jays,
6,Elly De La Cruz,Cincinnati Reds,
7,Aaron Judge,New York Yankees,
8,Kyle Teel,Chicago White Sox,RC
9,Jazz Chisholm Jr.,New York Yankees,
10,Dansby Swanson,Chicago Cubs,
11,George Springer,Toronto Blue Jays,
12,Chase DeLauter,Cleveland Guardians,RC
13,Pete Alonso,Baltimore Orioles,
14,Manny Machado,San Diego Padres,
15,Cole Young,Seattle Mariners,RC
16,James Wood,Washington Nationals,
17,Chase Burns,Cincinnati Reds,RC
18,Francisco Lindor,New York Mets,
19,Owen Caissie,Miami Marlins,RC
20,Trey Yesavage,Toronto Blue Jays,RC
21,Zach Neto,Angels,
22,Riley Greene,Detroit Tigers,
23,Brice Matthews,Houston Astros,RC
24,Junior Caminero,Tampa Bay Rays,
25,Garrett Crochet,Boston Red Sox,
26,Kyle Tucker,Los Angeles Dodgers,
27,Colby Thomas,Athletics,RC
28,Clayton Kershaw,Los Angeles Dodgers,
29,Jonah Tong,New York Mets,RC
30,Freddie Freeman,Los Angeles Dodgers,
31,Colson Montgomery,Chicago White Sox,RC
32,Drew Gilbert,San Francisco Giants,RC
33,Shota Imanaga,Chicago Cubs,
34,Carter Jensen,Kansas City Royals,RC
35,Mookie Betts,Los Angeles Dodgers,
36,Cam Schlittler,New York Yankees,RC
37,Munetaka Murakami,Chicago White Sox,RC
38,Harry Ford,Washington Nationals,RC
39,Jacob Misiorowski,Milwaukee Brewers,RC
40,Nick Kurtz,Athletics,
41,Payton Tolle,Boston Red Sox,RC
42,Jacob Melton,Tampa Bay Rays,RC
43,Cal Raleigh,Seattle Mariners,
44,Bubba Chandler,Pittsburgh Pirates,RC
45,Roki Sasaki,Los Angeles Dodgers,
46,Jakob Marsee,Miami Marlins,RC
47,Yordan Alvarez,Houston Astros,
48,Ronald Acuña Jr.,Atlanta Braves,
49,Sonny Gray,Boston Red Sox,
50,Mike Trout,Angels,
51,Gunnar Henderson,Baltimore Orioles,
52,Nolan McLean,New York Mets,RC
53,Carson Williams,Tampa Bay Rays,RC
54,Yoshinobu Yamamoto,Los Angeles Dodgers,
55,Juan Soto,New York Mets,
56,C.J. Kayfus,Cleveland Guardians,RC
57,Bryce Harper,Philadelphia Phillies,
58,Roman Anthony,Boston Red Sox,RC
59,Corbin Carroll,Arizona Diamondbacks,
60,Alex Freeland,Los Angeles Dodgers,RC
61,Paul Skenes,Pittsburgh Pirates,
62,Max Muncy,Los Angeles Dodgers,
63,Bo Bichette,New York Mets,
64,Vladimir Guerrero Jr.,Toronto Blue Jays,
65,Christian Moore,Angels,RC
66,Samuel Basallo,Baltimore Orioles,RC
67,Ketel Marte,Arizona Diamondbacks,
68,Corey Seager,Texas Rangers,
69,Nolan Arenado,Arizona Diamondbacks,
70,Austin Riley,Atlanta Braves,
71,Alex Bregman,Chicago Cubs,
72,Sal Stewart,Cincinnati Reds,RC
73,Fernando Tatis Jr.,San Diego Padres,
74,Bobby Witt Jr.,Kansas City Royals,
75,Adley Rutschman,Baltimore Orioles,
76,Tarik Skubal,Detroit Tigers,
77,Jarren Duran,Boston Red Sox,
78,Pete Crow-Armstrong,Chicago Cubs,
79,Bryce Eldridge,San Francisco Giants,RC
80,Brady House,Washington Nationals,RC
81,Kyle Schwarber,Philadelphia Phillies,
82,Jac Caglianone,Kansas City Royals,RC
83,Jackson Chourio,Milwaukee Brewers,
84,Andrew McCutchen,Pittsburgh Pirates,
85,Julio Rodríguez,Seattle Mariners,
86,Jhostynxon Garcia,Pittsburgh Pirates,RC
87,Seiya Suzuki,Chicago Cubs,
88,Trea Turner,Philadelphia Phillies,
89,Jacob Wilson,Athletics,
90,Christian Yelich,Milwaukee Brewers,
