card_number,name,team,designations
1,Aaron Judge,New York Yankees,
3,Luke Keaschall,Minnesota Twins,
5,Justin Turner,Chicago Cubs,
7,Patrick Bailey,San Francisco Giants,
8,Heliot Ramos,San Francisco Giants,
23,Spencer Torkelson,Detroit Tigers,
27,Matt Shaw,Chicago Cubs,
50,Marcell Ozuna,Atlanta Braves,
73,Jackson Chourio,Milwaukee Brewers,
78,Jonah Heim,Texas Rangers,
85,Brooks Lee,Minnesota Twins,
92,Jackson Holliday,Baltimore Orioles,
97,Nick Kurtz,Athletics,
98,Josh Jung,Texas Rangers,
101,Ceddanne Rafaela,Boston Red Sox,
110,Adolis García,Texas Rangers,
123,Francisco Lindor,New York Mets,
129,Cole Young,Seattle Mariners,RC
135,Trevor Story,Boston Red Sox,
138,Salvador Perez,Kansas City Royals,
139,Jo Adell,Angels,
144,Javier Báez,Detroit Tigers,
147,Christian Moore,Angels,RC
154,Christian Yelich,Milwaukee Brewers,
156,J.P. Crawford,Seattle Mariners,
162,Jorge Soler,Angels,
164,Brenton Doyle,Colorado Rockies,
189,Roman Anthony,Boston Red Sox,RC
193,Nolan Arenado,St. Louis Cardinals,
196,Ian Happ,Chicago Cubs,
200,Shohei Ohtani,Los Angeles Dodgers,
202,Isaac Collins,Milwaukee Brewers,
205,Bobby Witt Jr.,Kansas City Royals,
219,Matt Chapman,San Francisco Giants,
225,Tyler Soderstrom,Athletics,
226,Jorge Polanco,Seattle Mariners,
230,Zach Neto,Angels,
237,Jonathan India,Kansas City Royals,
240,Jacob Wilson,Athletics,
252,Freddie Freeman,Los Angeles Dodgers,
267,Willy Adames,San Francisco Giants,
269,Wilyer Abreu,Boston Red Sox,
284,José Ramírez,Cleveland Guardians,
287,Agustín Ramírez,Miami Marlins,
293,Kyle Stowers,Miami Marlins,
309,Kyle Manzardo,Cleveland Guardians,
326,Jonathan Aranda,Tampa Bay Rays,
333,Fernando Tatis Jr.,San Diego Padres,
349,James Wood,Washington Nationals,
350,Taylor Ward,Angels,
