card_number,name,team,designations
91B2-1,Shohei Ohtani,Los Angeles Dodgers,
91B2-2,Harry Ford,Washington Nationals,RC
91B2-3,Trea Turner,Philadelphia Phillies,
91B2-4,Carter Jensen,Kansas City Royals,RC
91B2-5,Blake Snell,Los Angeles Dodgers,
91B2-6,Satchel Paige,St. Louis Browns,
91B2-7,Bo Bichette,New York Mets,
91B2-8,Brandon Sproat,Milwaukee Brewers,RC
91B2-9,Salvador Perez,Kansas City Royals,
91B2-10,Ty Cobb,Detroit Tigers,
91B2-11,Roman Anthony,Boston Red Sox,RC
91B2-12,Munetaka Murakami,Chicago White Sox,RC
91B2-13,Sal Stewart,Cincinnati Reds,RC
91B2-14,Jonah Tong,New York Mets,RC
91B2-15,Hunter Barco,Pittsburgh Pirates,RC
91B2-16,Brent Rooker,Athletics,
91B2-17,Willie Mays,San Francisco Giants,
91B2-18,Chase DeLauter,Cleveland Guardians,RC
91B2-19,Jackie Robinson,Brooklyn Dodgers,
91B2-20,Mariano Rivera,New York Yankees,
91B2-21,Bryce Eldridge,San Francisco Giants,RC
91B2-22,Greg Maddux,Chicago Cubs,
91B2-23,Jhostynxon Garcia,Pittsburgh Pirates,RC
91B2-24,Nick Kurtz,Athletics,
91B2-25,Ketel Marte,Arizona Diamondbacks,
91B2-26,Craig Biggio,Houston Astros,
91B2-27,Connelly Early,Boston Red Sox,RC
91B2-28,Ernie Banks,Chicago Cubs,
91B2-29,Samuel Basallo,Baltimore Orioles,RC
91B2-30,Lou Gehrig,New York Yankees,
91B2-31,Christy Mathewson,New York Giants,
91B2-32,Pete Alonso,Baltimore Orioles,
91B2-33,Trey Yesavage,Toronto Blue Jays,RC
91B2-34,Stan Musial,St. Louis Cardinals,
91B2-35,Jarren Duran,Boston Red Sox,
91B2-36,Nolan Ryan,California Angels,
91B2-37,Honus Wagner,Pittsburgh Pirates,
91B2-38,Dale Murphy,Atlanta Braves,
91B2-39,Zach Neto,Angels,
91B2-40,Drew Gilbert,San Francisco Giants,RC
91B2-41,Carlos Correa,Houston Astros,
91B2-42,Adley Rutschman,Baltimore Orioles,
91B2-43,Jac Caglianone,Kansas City Royals,RC
91B2-44,Austin Riley,Atlanta Braves,
91B2-45,Jakob Marsee,Miami Marlins,RC
91B2-46,Ted Williams,Boston Red Sox,
91B2-47,Hunter Greene,Cincinnati Reds,
91B2-48,Wyatt Langford,Texas Rangers,
91B2-49,Joe DiMaggio,New York Yankees,
91B2-50,Babe Ruth,New York Yankees,
