card_number,name,team,designations
RTB-AB,Alex Bregman,Boston Red Sox,
RTB-AJ,Aaron Judge,New York Yankees,
RTB-AJU,Aaron Judge,New York Yankees,
RTB-AM,Andrew McCutchen,Pittsburgh Pirates,
RTB-AV,Anthony Volpe,New York Yankees,
RTB-BL,Brooks Lee,Minnesota Twins,
RTB-BR,Brent Rooker,Athletics,
RTB-BWJ,Bobby Witt Jr.,Kansas City Royals,
RTB-CA,CJ Abrams,Washington Nationals,
RTB-CB,Cody Bellinger,New York Yankees,
RTB-CF,Cody Freeman,Texas Rangers,RC
RTB-CM,Coby Mayo,Baltimore Orioles,
RTB-CN,Carlos Narváez,Boston Red Sox,
RTB-CR,Cal Raleigh,Seattle Mariners,
RTB-CS,Corey Seager,Texas Rangers,
RTB-CY,Christian Yelich,Milwaukee Brewers,
RTB-DC,Dylan Crews,Washington Nationals,
RTB-DS,Dansby Swanson,Chicago Cubs,
RTB-ED,Elly De La Cruz,Cincinnati Reds,
RTB-FL,Francisco Lindor,New York Mets,
RTB-FT,Fernando Tatis Jr.,San Diego Padres,
RTB-GS,George Springer,Toronto Blue Jays,
RTB-GV,George Valera,Cleveland Guardians,RC
RTB-IH,Ian Happ,Chicago Cubs,
RTB-JA,Jonathan Aranda,Tampa Bay Rays,
RTB-JC,Jazz Chisholm Jr.,New York Yankees,
RTB-JCA,Junior Caminero,Tampa Bay Rays,
RTB-JCH,Jackson Chourio,Milwaukee Brewers,
RTB-JD,Jarren Duran,Boston Red Sox,
RTB-JH,Jung Hoo Lee,San Francisco Giants,
RTB-JJ,Josh Jung,Texas Rangers,
RTB-JM,Jackson Merrill,San Diego Padres,
RTB-JR,J.T. Realmuto,Philadelphia Phillies,
RTB-JRA,José Ramírez,Cleveland Guardians,
RTB-JRO,Julio Rodríguez,Seattle Mariners,
RTB-JRZ,José Ramírez,Cleveland Guardians,
RTB-JS,Juan Soto,New York Mets,
RTB-JW,Jordan Westburg,Baltimore Orioles,
RTB-JWI,Jacob Wilson,Athletics,
RTB-KC,Kerry Carpenter,Detroit Tigers,
RTB-KM,Kyle Manzardo,Cleveland Guardians,
RTB-KT,Kyle Tucker,Chicago Cubs,
RTB-KTE,Kyle Teel,Chicago White Sox,RC
RTB-MO,Matt Olson,Atlanta Braves,
RTB-MS,Matt Shaw,Chicago Cubs,
RTB-MSE,Marcus Semien,Texas Rangers,
RTB-NA,Nolan Arenado,St. Louis Cardinals,
RTB-NC,Nick Castellanos,Philadelphia Phillies,
RTB-NK,Nick Kurtz,Athletics,
RTB-OC,Owen Caissie,Chicago Cubs,RC
RTB-PA,Pete Alonso,New York Mets,
RTB-PG,Paul Goldschmidt,New York Yankees,
RTB-RA,Ronald Acuña Jr.,Atlanta Braves,
RTB-RG,Riley Greene,Detroit Tigers,
RTB-SK,Steven Kwan,Cleveland Guardians,
RTB-SO,Shohei Ohtani,Los Angeles Dodgers,
RTB-SOTO,Juan Soto,New York Mets,
RTB-SS,Seiya Suzuki,Chicago Cubs,
RTB-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
RTB-WC,William Contreras,Milwaukee Brewers,
RTB-ZV,Zac Veen,Colorado Rockies,
