card_number,name,team,designations
4,Jonah Tong,New York Mets,RC
10,Jacob Misiorowski,Milwaukee Brewers,RC
15,Payton Tolle,Boston Red Sox,RC
25,Carson Williams,Tampa Bay Rays,RC
35,C.J. Kayfus,Cleveland Guardians,RC
74,Alex Freeland,Los Angeles Dodgers,RC
104,Samuel Basallo,Baltimore Orioles,RC
111,Cam Schlittler,New York Yankees,RC
132,Brice Matthews,Houston Astros,RC
138,Jac Caglianone,Kansas City Royals,RC
147,Christian Moore,Angels,RC
148,Jacob Melton,Houston Astros,RC
155,Drew Gilbert,San Francisco Giants,RC
157,Colson Montgomery,Chicago White Sox,RC
170,Brady House,Washington Nationals,RC
189,Roman Anthony,Boston Red Sox,RC
201,Kyle Teel,Chicago White Sox,RC
213,Colby Thomas,Athletics,RC
233,Owen Caissie,Chicago Cubs,RC
283,Bubba Chandler,Pittsburgh Pirates,RC
312,Chase Burns,Cincinnati Reds,RC
372,Sal Stewart,Cincinnati Reds,RC
406,Bryce Eldridge,San Francisco Giants,RC
435,Denzer Guzman,Angels,RC
456,Justin Dean,Los Angeles Dodgers,RC
458,Chase DeLauter,Cleveland Guardians,RC
501,Connelly Early,Boston Red Sox,RC
530,Carter Jensen,Kansas City Royals,RC
570,Rolddy Muñoz,Atlanta Braves,RC
578,Heriberto Hernández,Miami Marlins,RC
601,Zach Cole,Houston Astros,RC
603,George Valera,Cleveland Guardians,RC
620,Trey Yesavage,Toronto Blue Jays,RC
623,Rafael Flores,Pittsburgh Pirates,RC
659,Harry Ford,Seattle Mariners,RC
665,Jose Corniell,Texas Rangers,RC
674,Andre Granillo,St. Louis Cardinals,RC
129,Cole Young,Seattle Mariners,RC
214,Nolan McLean,New York Mets,RC
339,Dylan Beavers,Baltimore Orioles,RC
