card_number,name,team,designations
1,Aaron Judge,New York Yankees,
2,Daulton Varsho,Toronto Blue Jays,
3,Luke Keaschall,Minnesota Twins,
4,Jonah Tong,New York Mets,RC
5,Nico Hoerner,Chicago Cubs,
6,Blaze Alexander,Arizona Diamondbacks,
7,Patrick Bailey,San Francisco Giants,
8,Heliot Ramos,San Francisco Giants,
9,Nick Pivetta,San Diego Padres,
10,Jacob Misiorowski,Milwaukee Brewers,RC
11,Pete Alonso / Kyle Schwarber / Juan Soto,New York Mets / Philadelphia Phillies / New York Mets,LL
12,Jordan Beck,Colorado Rockies,
13,Dylan Smith,Detroit Tigers,RC
14,MacKenzie Gore,Washington Nationals,
15,Payton Tolle,Boston Red Sox,RC
16,Casey Mize,Detroit Tigers,
17,Nick Castellanos,Philadelphia Phillies,
18,Ryan Ritter,Colorado Rockies,RC
19,Dean Kremer,Baltimore Orioles,
20,Vladimir Guerrero Jr.,Toronto Blue Jays,
21,Kyle Backhus,Arizona Diamondbacks,RC
22,Clayton Kershaw,Los Angeles Dodgers,
23,Zach McKinstry,Detroit Tigers,
24,Nathan Church,St. Louis Cardinals,RC
25,Carson Williams,Tampa Bay Rays,RC
26,Brendan Donovan,St. Louis Cardinals,
27,Matt Shaw,Chicago Cubs,
28,Elias Díaz,San Diego Padres,
29,Landen Roupp,San Francisco Giants,
30,Sean Murphy,Atlanta Braves,
31,Bailey Ober,Minnesota Twins,
32,Shinnosuke Ogasawara,Washington Nationals,RC
33,Xander Bogaerts,San Diego Padres,
34,Kansas City Royals,Kansas City Royals,TC
35,C.J. Kayfus,Cleveland Guardians,RC
36,Andry Lara,Washington Nationals,RC
37,Jakob Marsee,Miami Marlins,RC
38,Aaron Judge / Junior Caminero / Cal Raleigh,New York Yankees / Tampa Bay Rays / Seattle Mariners,LL
39,Matt Olson,Atlanta Braves,
40,Sonny Gray,St. Louis Cardinals,
41,Mookie Betts,Los Angeles Dodgers,
42,Bradgley Rodriguez,San Diego Padres,RC
43,Nolan Schanuel,Angels,
44,Shane Smith,Chicago White Sox,
45,Brandon Pfaadt,Arizona Diamondbacks,
46,Gunnar Henderson,Baltimore Orioles,
47,Arizona Diamondbacks,Arizona Diamondbacks,TC
48,Stephen Kolek,Kansas City Royals,
49,Grant Taylor,Chicago White Sox,RC
50,Ronald Acuña Jr.,Atlanta Braves,
51,Matthew Boyd,Chicago Cubs,
52,Francisco Lindor,New York Mets,CC CL
53,Garrett Crochet,Boston Red Sox,
54,Joe Ryan,Minnesota Twins,
55,Warming Bernabel,Colorado Rockies,RC
56,Lenyn Sosa,Chicago White Sox,
57,Casey Schmitt,San Francisco Giants,
58,Kris Bubic,Kansas City Royals,
