card_number,name,team,designations
91C-1,Adrian Beltré,Texas Rangers,
91C-2,Junior Caminero,Tampa Bay Rays,
91C-3,Corbin Carroll,Arizona Diamondbacks,
91C-4,Riley Greene,Detroit Tigers,
91C-5,Bo Jackson,Kansas City Royals,
91C-6,Jac Caglianone,Kansas City Royals,RC
91C-7,Dansby Swanson,Chicago Cubs,
91C-9,Vladimir Guerrero,Montréal Expos,
91C-10,David Ortiz,Boston Red Sox,
91C-11,Owen Caissie,Chicago Cubs,RC
91C-12,Chipper Jones,Atlanta Braves,
91C-13,Albert Pujols,St. Louis Cardinals,
91C-14,Nolan Ryan,Texas Rangers,
91C-15,Brady House,Washington Nationals,RC
91C-16,Gunnar Henderson,Baltimore Orioles,
91C-17,Jose Altuve,Houston Astros,
91C-18,Yoshinobu Yamamoto,Los Angeles Dodgers,
91C-19,Bobby Witt Jr.,Kansas City Royals,
91C-20,Otto Kemp,Philadelphia Phillies,RC
91C-22,Mike Schmidt,Philadelphia Phillies,
91C-23,Jhostynxon Garcia,Boston Red Sox,RC
91C-24,Tarik Skubal,Detroit Tigers,
91C-25,Ichiro,Seattle Mariners,
91C-26,Rafael Devers,San Francisco Giants,
91C-27,Colson Montgomery,Chicago White Sox,RC
91C-28,Grant Taylor,Chicago White Sox,RC
91C-29,Don Mattingly,New York Yankees,
91C-30,Samuel Basallo,Baltimore Orioles,RC
91C-31,Andrew McCutchen,Pittsburgh Pirates,
91C-32,Ozzie Smith,St. Louis Cardinals,
91C-33,Trea Turner,Philadelphia Phillies,
91C-34,Jonah Tong,New York Mets,RC
91C-36,C.J. Kayfus,Cleveland Guardians,RC
91C-37,Barry Larkin,Cincinnati Reds,
91C-38,Chase Burns,Cincinnati Reds,RC
91C-39,Paul Skenes,Pittsburgh Pirates,
91C-41,Pedro Martinez,Boston Red Sox,
91C-42,Mike Trout,Angels,
91C-43,Ronald Acuña Jr.,Atlanta Braves,
91C-45,Nathan Church,St. Louis Cardinals,RC
91C-46,Nolan Arenado,St. Louis Cardinals,
91C-49,Mark McGwire,Oakland Athletics,
91C-50,Yordan Alvarez,Houston Astros,
91C-51,Ken Griffey Jr.,Seattle Mariners,
91C-52,Carson Whisenhunt,San Francisco Giants,RC
91C-53,Craig Biggio,Houston Astros,
91C-54,Jacob Misiorowski,Milwaukee Brewers,RC
91C-55,Fernando Tatis Jr.,San Diego Padres,
91C-56,Alex Freeland,Los Angeles Dodgers,RC
91C-58,Corey Seager,Texas Rangers,
91C-60,Roman Anthony,Boston Red Sox,RC
91C-61,Kyle Teel,Chicago White Sox,RC
91C-62,Julio Rodríguez,Seattle Mariners,
91C-63,Cal Ripken Jr.,Baltimore Orioles,
91C-64,Parker Messick,Cleveland Guardians,RC
91C-65,Byron Buxton,Minnesota Twins,
91C-66,Frank Thomas,Chicago White Sox,
91C-67,Shota Imanaga,Chicago Cubs,
91C-68,Robin Yount,Milwaukee Brewers,
91C-69,Jacob Melton,Houston Astros,RC
91C-70,Brice Matthews,Houston Astros,RC
91C-71,Jackson Chourio,Milwaukee Brewers,
91C-72,Vladimir Guerrero Jr.,Toronto Blue Jays,
91C-73,Derek Jeter,New York Yankees,
91C-74,Colby Thomas,Athletics,RC
91C-75,Bubba Chandler,Pittsburgh Pirates,RC
91C-77,Randy Johnson,Arizona Diamondbacks,
91C-78,James Wood,Washington Nationals,
91C-79,Wyatt Langford,Texas Rangers,
91C-81,Mike Piazza,New York Mets,
91C-83,Kyle Tucker,Chicago Cubs,
91C-84,José Ramírez,Cleveland Guardians,
91C-85,Didier Fuentes,Atlanta Braves,RC
91C-86,Ryan Ritter,Colorado Rockies,RC
91C-87,Carson Williams,Tampa Bay Rays,RC
91C-88,Sammy Sosa,Chicago Cubs,
91C-89,Elly De La Cruz,Cincinnati Reds,
91C-90,Francisco Lindor,New York Mets,
91C-92,Buster Posey,San Francisco Giants,
91C-93,Miguel Cabrera,Detroit Tigers,
91C-94,Cam Schlittler,New York Yankees,RC
91C-96,Will Clark,San Francisco Giants,
91C-97,Matt Chapman,San Francisco Giants,
91C-98,Jeff Bagwell,Houston Astros,
91C-99,Ryne Sandberg,Chicago Cubs,
91C-100,Christian Yelich,Milwaukee Brewers,
