card_number,name,team,designations
BSA-AB,Alec Burleson,St. Louis Cardinals,
BSA-ABE,Adrian Beltré,Texas Rangers,
BSA-AFR,Alex Freeland,Los Angeles Dodgers,RC
BSA-AJ,Andruw Jones,Atlanta Braves,
BSA-AL,Andry Lara,Washington Nationals,RC
BSA-AS,Anthony Seigler,Milwaukee Brewers,RC
BSA-BCH,Bubba Chandler,Pittsburgh Pirates,RC
BSA-BGA,Brandyn Garcia,Arizona Diamondbacks,RC
BSA-BH,Brady House,Washington Nationals,RC
BSA-BM,Brice Matthews,Houston Astros,RC
BSA-BMI,Bryce Miller,Seattle Mariners,
BSA-BOS,Bob Seymour,Tampa Bay Rays,RC
BSA-BRD,Brendan Donovan,St. Louis Cardinals,
BSA-BRO,Brent Rooker,Athletics,
BSA-BS,Brady Singer,Cincinnati Reds,
BSA-BSP,Brandon Sproat,New York Mets,RC
BSA-BT,Brice Turang,Milwaukee Brewers,
BSA-CA,CJ Abrams,Washington Nationals,
BSA-CB,Chase Burns,Cincinnati Reds,RC
BSA-CCO,Carlos Cortes,Athletics,RC
BSA-CFR,Cody Freeman,Texas Rangers,RC
BSA-CJK,C.J. Kayfus,Cleveland Guardians,RC
BSA-CK,Colt Keith,Detroit Tigers,
BSA-CM,Colson Montgomery,Chicago White Sox,RC
BSA-CS,Chad Stevens,Angels,RC
BSA-CSC,Cam Schlittler,New York Yankees,RC
BSA-CSE,Carson Seymour,San Francisco Giants,RC
BSA-CT,Colby Thomas,Athletics,RC
BSA-CWH,Carson Whisenhunt,San Francisco Giants,RC
BSA-CWI,Carson Williams,Tampa Bay Rays,RC
BSA-DF,Didier Fuentes,Atlanta Braves,RC
BSA-DGI,Drew Gilbert,San Francisco Giants,RC
BSA-DST,Darryl Strawberry,New York Mets,
BSA-ES,Emmet Sheehan,Los Angeles Dodgers,
BSA-ET,Ezequiel Tovar,Colorado Rockies,
BSA-GS,George Springer,Toronto Blue Jays,
BSA-GT,Grant Taylor,Chicago White Sox,RC
BSA-GV,George Valera,Cleveland Guardians,RC
BSA-HF,Harry Ford,Seattle Mariners,RC
BSA-IC,Isaac Collins,Milwaukee Brewers,
BSA-IS,Ian Seymour,Tampa Bay Rays,RC
BSA-JA,Jonathan Aranda,Tampa Bay Rays,
BSA-JBE,Jordan Beck,Colorado Rockies,
BSA-JC,Jac Caglianone,Kansas City Royals,RC
BSA-JCR,Jimmy Crooks,St. Louis Cardinals,RC
BSA-JHG,Jhostynxon Garcia,Boston Red Sox,RC
BSA-JJA,Jeremiah Jackson,Baltimore Orioles,RC
BSA-JM,Jacob Melton,Houston Astros,RC
BSA-JMA,Jakob Marsee,Miami Marlins,RC
BSA-JMI,Jacob Misiorowski,Milwaukee Brewers,RC
BSA-JOT,Jonah Tong,New York Mets,RC
BSA-JP,Jack Perkins,Athletics,RC
BSA-JR,Joe Rock,Tampa Bay Rays,RC
BSA-JS,Josh Smith,Texas Rangers,
BSA-KC,Kenedy Corona,Houston Astros,RC
BSA-KCA,Kerry Carpenter,Detroit Tigers,
BSA-KKA,Kyle Karros,Colorado Rockies,RC
BSA-KM,Kyle Manzardo,Cleveland Guardians,
BSA-KT,Kyle Teel,Chicago White Sox,RC
BSA-LMO,Luis Morales,Athletics,RC
BSA-MA,Maximo Acosta,Miami Marlins,RC
BSA-MB,Mason Barnett,Athletics,RC
BSA-MG,Maikel Garcia,Kansas City Royals,
BSA-MW,Matt Wallner,Minnesota Twins,
BSA-NC,Nathan Church,St. Louis Cardinals,RC
BSA-OCA,Owen Caissie,Chicago Cubs,RC
BSA-OK,Otto Kemp,Philadelphia Phillies,RC
BSA-PM,Parker Messick,Cleveland Guardians,RC
BSA-PT,Payton Tolle,Boston Red Sox,RC
BSA-RR,Ryan Ritter,Colorado Rockies,RC
BSA-RRA,Robbie Ray,San Francisco Giants,
BSA-SBA,Samuel Basallo,Baltimore Orioles,RC
BSA-SHO,Shota Imanaga,Chicago Cubs,
BSA-SS,Sammy Sosa,Chicago Cubs,
BSA-SST,Sal Stewart,Cincinnati Reds,RC
BSA-TJO,Troy Johnston,Miami Marlins,RC
BSA-TME,Troy Melton,Detroit Tigers,RC
BSA-TRP,Tristan Peters,Tampa Bay Rays,RC
BSA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
BSA-VP,Vinnie Pasquantino,Kansas City Royals,
BSA-WG,Wikelman González,Chicago White Sox,RC
BSA-ZAM,Zach Maxwell,Cincinnati Reds,RC
BSA-ZN,Zach Neto,Angels,
BSA-BB,Barry Bonds,Pittsburgh Pirates,
BSA2-AB,Addison Barger,Toronto Blue Jays,
BSA2-ABO,Alec Bohm,Philadelphia Phillies,
BSA2-ABR,Alex Bregman,Chicago Cubs,
BSA2-AF,Alex Freeland,Los Angeles Dodgers,RC
BSA2-AG,Andres Galarraga,Montréal Expos,
BSA2-AGA,Adolis García,Philadelphia Phillies,
BSA2-AGI,Andrés Giménez,Toronto Blue Jays,
BSA2-AGR,Andre Granillo,Washington Nationals,RC
BSA2-AP,Andy Pages,Los Angeles Dodgers,
BSA2-APA,Andrew Painter,Philadelphia Phillies,RC
BSA2-AS,Alfonso Soriano,New York Yankees,
BSA2-BG,Brett Gardner,New York Yankees,
BSA2-BM,Brice Matthews,Houston Astros,RC
BSA2-BR,Billy Ripken,Baltimore Orioles,
BSA2-BS,Blake Snell,Los Angeles Dodgers,
BSA2-BSP,Brandon Sproat,Milwaukee Brewers,RC
BSA2-BW,Bryan Woo,Seattle Mariners,
BSA2-CC,Cade Cavalli,Washington Nationals,
BSA2-CD,Chase DeLauter,Cleveland Guardians,RC
BSA2-CJ,Carter Jensen,Kansas City Royals,RC
BSA2-CM,Christian Moore,Angels,RC
BSA2-CP,César Prieto,St. Louis Cardinals,RC
BSA2-CS,Chandler Simpson,Tampa Bay Rays,
BSA2-DB,Dusty Baker,Los Angeles Dodgers,
BSA2-DBE,Dylan Beavers,Baltimore Orioles,RC
BSA2-DBR,David Bednar,New York Yankees,
BSA2-DC,Denzel Clarke,Athletics,
BSA2-DE,Dennis Eckersley,Oakland Athletics,
