card_number,name,team,designations
MLM2-AF,Alex Freeland,Los Angeles Dodgers,RC
MLM2-AG,Adolis García,Philadelphia Phillies,
MLM2-AM,Andrew McCutchen,Pittsburgh Pirates,
MLM2-BC,Bubba Chandler,Pittsburgh Pirates,RC
MLM2-BHO,Brady House,Washington Nationals,RC
MLM2-BL,Barry Larkin,Cincinnati Reds,
MLM2-BM,Brice Matthews,Houston Astros,RC
MLM2-BW,Bryan Woo,Seattle Mariners,
MLM2-CA,CJ Abrams,Washington Nationals,
MLM2-CB,Chase Burns,Cincinnati Reds,RC
MLM2-CCA,Corbin Carroll,Arizona Diamondbacks,
MLM2-CCS,CC Sabathia,New York Yankees,
MLM2-CD,Chase DeLauter,Cleveland Guardians,RC
MLM2-CH,Cade Horton,Chicago Cubs,
MLM2-CJ,Carter Jensen,Kansas City Royals,RC
MLM2-CK,C.J. Kayfus,Cleveland Guardians,RC
MLM2-CM,Colson Montgomery,Chicago White Sox,RC
MLM2-CR,Ceddanne Rafaela,Boston Red Sox,
MLM2-CRJ,Cal Ripken Jr.,Baltimore Orioles,
MLM2-CS,Chris Sale,Atlanta Braves,
MLM2-CSC,Cam Schlittler,New York Yankees,RC
MLM2-CT,Colby Thomas,Athletics,RC
MLM2-CW,Carson Williams,Tampa Bay Rays,RC
MLM2-CY,Christian Yelich,Milwaukee Brewers,
MLM2-DB,Drake Baldwin,Atlanta Braves,
MLM2-DC,Dylan Crews,Washington Nationals,
MLM2-DO,David Ortiz,Boston Red Sox,
MLM2-DS,Dansby Swanson,Chicago Cubs,
MLM2-FT,Frank Thomas,Chicago White Sox,
MLM2-JC,Junior Caminero,Tampa Bay Rays,
MLM2-JCA,Jac Caglianone,Kansas City Royals,RC
MLM2-JCJ,Jazz Chisholm Jr.,New York Yankees,
MLM2-JM,Jakob Marsee,Miami Marlins,RC
MLM2-JMI,Jacob Misiorowski,Milwaukee Brewers,RC
MLM2-JRA,José Ramírez,Cleveland Guardians,
MLM2-JT,Jonah Tong,New York Mets,RC
MLM2-JWO,James Wood,Washington Nationals,
MLM2-KT,Kyle Teel,Chicago White Sox,RC
MLM2-KTU,Kyle Tucker,Los Angeles Dodgers,
MLM2-LK,Luke Keaschall,Minnesota Twins,
MLM2-MC,Matt Chapman,San Francisco Giants,
MLM2-MT,Mike Trout,Angels,
MLM2-MW,Masyn Winn,St. Louis Cardinals,
MLM2-NH,Nico Hoerner,Chicago Cubs,
MLM2-NK,Nick Kurtz,Athletics,
MLM2-NM,Nolan McLean,New York Mets,RC
MLM2-PT,Payton Tolle,Boston Red Sox,RC
MLM2-RAJ,Ronald Acuña Jr.,Atlanta Braves,
MLM2-RS,Roki Sasaki,Los Angeles Dodgers,
MLM2-SB,Samuel Basallo,Baltimore Orioles,RC
MLM2-SS,Sal Stewart,Cincinnati Reds,RC
MLM2-SSC,Spencer Schwellenbach,Atlanta Braves,
MLM2-SST,Spencer Strider,Atlanta Braves,
MLM2-TSO,Tyler Soderstrom,Athletics,
MLM2-TT,Trea Turner,Philadelphia Phillies,
MLM2-VG,Vladimir Guerrero,Montréal Expos,
MLM2-VP,Vinnie Pasquantino,Kansas City Royals,
MLM2-WL,Wyatt Langford,Texas Rangers,
MLM2-WS,Will Smith,Los Angeles Dodgers,
MLM2-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
MLMA-CM,Christian Moore,Angels,RC
MLMA-ED,Elly De La Cruz,Cincinnati Reds,
MLMA-JS,Juan Soto,New York Mets,
MLMA-JWI,Jacob Wilson,Athletics,
MLMA-MO,Matt Olson,Atlanta Braves,
