card_number,name,team,designations
PPA-ABR,Alex Bregman,Boston Red Sox,
PPA-AG,Andrés Giménez,Toronto Blue Jays,
PPA-AV,Anthony Volpe,New York Yankees,
PPA-BR,Ben Rice,New York Yankees,
PPA-BT,Brice Turang,Milwaukee Brewers,
PPA-CD,Caleb Durbin,Milwaukee Brewers,
PPA-CS,Cam Schlittler,New York Yankees,RC
PPA-CY,Christian Yelich,Milwaukee Brewers,
PPA-ED,Elly De La Cruz,Cincinnati Reds,
PPA-FP,Freddy Peralta,Milwaukee Brewers,
PPA-GK,George Kirby,Seattle Mariners,
PPA-GSP,George Springer,Toronto Blue Jays,
PPA-JC,Jazz Chisholm Jr.,New York Yankees,
PPA-JD,Jhoan Duran,Philadelphia Phillies,
PPA-JM,Jackson Merrill,San Diego Padres,
PPA-JMI,Jacob Misiorowski,Milwaukee Brewers,RC
PPA-JRA,José Ramírez,Cleveland Guardians,
PPA-JTR,J.T. Realmuto,Philadelphia Phillies,
PPA-KC,Kerry Carpenter,Detroit Tigers,
PPA-LC,Luis Castillo,Seattle Mariners,
PPA-MBU,Michael Busch,Chicago Cubs,
PPA-MM,Manny Machado,San Diego Padres,
PPA-MY,Masataka Yoshida,Boston Red Sox,
PPA-NH,Nico Hoerner,Chicago Cubs,
PPA-RG,Riley Greene,Detroit Tigers,
PPA-SF,Sal Frelick,Milwaukee Brewers,
PPA-SK,Steven Kwan,Cleveland Guardians,
PPA-SST,Sal Stewart,Cincinnati Reds,RC
PPA-SSU,Seiya Suzuki,Chicago Cubs,
PPA-TS,Tarik Skubal,Detroit Tigers,
PPA-TT,Trea Turner,Philadelphia Phillies,
PPA-TY,Trey Yesavage,Toronto Blue Jays,RC
PPA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
