card_number,name,team,designations
GH-1,Pete Crow-Armstrong,Chicago Cubs,
GH-2,Aaron Judge,New York Yankees,
GH-3,Ceddanne Rafaela,Boston Red Sox,
GH-4,James Wood,Washington Nationals,
GH-5,Christian Yelich,Milwaukee Brewers,
GH-6,Jasson Domínguez,New York Yankees,
GH-7,Freddie Freeman,Los Angeles Dodgers,
GH-8,Cal Raleigh,Seattle Mariners,
GH-9,Matt Chapman,San Francisco Giants,
GH-10,Bryce Harper,Philadelphia Phillies,
GH-11,Andrew McCutchen,Pittsburgh Pirates,
GH-12,Byron Buxton,Minnesota Twins,
GH-13,Manny Machado,San Diego Padres,
GH-14,Mike Trout,Angels,
GH-15,Cody Bellinger,New York Yankees,
GH-16,Kyle Schwarber,Philadelphia Phillies,
GH-17,Shohei Ohtani,Los Angeles Dodgers,
GH-18,Bobby Witt Jr.,Kansas City Royals,
GH-19,Ronald Acuña Jr.,Atlanta Braves,
GH-20,Jackson Chourio,Milwaukee Brewers,
GH-21,Patrick Bailey,San Francisco Giants,
GH-22,Marcus Semien,Texas Rangers,
GH-23,Nick Kurtz,Athletics,
GH-24,Max Muncy,Los Angeles Dodgers,
GH-25,Jac Caglianone,Kansas City Royals,RC
GH-26,Roman Anthony,Boston Red Sox,RC
GH-27,Michael Busch,Chicago Cubs,
GH-28,Pete Alonso,New York Mets,
