card_number,name,team,designations
8B-1,Jac Caglianone,Kansas City Royals,RC
8B-2,Roman Anthony,Boston Red Sox,RC
8B-3,Chase Burns,Cincinnati Reds,RC
8B-4,Kyle Teel,Chicago White Sox,RC
8B-5,Jacob Misiorowski,Milwaukee Brewers,RC
8B-6,Nick Kurtz,Athletics,
8B-7,Shohei Ohtani,Los Angeles Dodgers,
8B-8,Mike Trout,Angels,
8B-9,Ronald Acuña Jr.,Atlanta Braves,
8B-10,Aaron Judge,New York Yankees,
8B-11,Bryce Harper,Philadelphia Phillies,
8B-12,Pete Crow-Armstrong,Chicago Cubs,
8B-13,Ken Griffey Jr.,Seattle Mariners,
8B-14,Derek Jeter,New York Yankees,
8B-15,Cal Ripken Jr.,Baltimore Orioles,
8B-16,Nolan Ryan,Houston Astros,
8B-17,Rickey Henderson,Oakland Athletics,
8B-18,Owen Caissie,Chicago Cubs,RC
8B-19,Bobby Witt Jr.,Kansas City Royals,
8B-20,Samuel Basallo,Baltimore Orioles,RC
8B-21,Alex Freeland,Los Angeles Dodgers,RC
8B-22,Bubba Chandler,Pittsburgh Pirates,RC
8B-23,Carson Williams,Tampa Bay Rays,RC
8B-24,Elly De La Cruz,Cincinnati Reds,
8B-25,Kyle Schwarber,Philadelphia Phillies,
