card_number,name,team,designations
AA-1,Shohei Ohtani,Los Angeles Dodgers,
AA-2,Paul Skenes,Pittsburgh Pirates,
AA-3,Nolan Ryan,Texas Rangers,
AA-4,Chase Burns,Cincinnati Reds,RC
AA-5,Jacob Misiorowski,Milwaukee Brewers,RC
AA-6,Nolan McLean,New York Mets,RC
AA-7,Bubba Chandler,Pittsburgh Pirates,RC
AA-8,Tarik Skubal,Detroit Tigers,
AA-9,Zack Wheeler,Philadelphia Phillies,
AA-10,Walter Johnson,Washington Senators,
AA-11,Yoshinobu Yamamoto,Los Angeles Dodgers,
AA-12,Greg Maddux,Chicago Cubs,
AA-13,Randy Johnson,Seattle Mariners,
AA-14,Christy Mathewson,New York Giants,
AA-15,Roki Sasaki,Los Angeles Dodgers,
AA-16,Nolan Ryan,California Angels,
AA-17,Garrett Crochet,Boston Red Sox,
AA-18,Cam Schlittler,New York Yankees,RC
AA-19,Payton Tolle,Boston Red Sox,RC
AA-20,Trey Yesavage,Toronto Blue Jays,RC
