card_number,name,team,designations
CN-1,Aaron Judge,New York Yankees,
CN-2,Rickey Henderson,Oakland Athletics,
CN-3,Juan Soto,New York Mets,
CN-4,Ichiro,Seattle Mariners,
CN-5,Cal Raleigh,Seattle Mariners,
CN-6,Mark McGwire,St. Louis Cardinals,
CN-7,Lou Gehrig,New York Yankees,
CN-8,Bobby Witt Jr.,Kansas City Royals,
CN-9,Shohei Ohtani,Los Angeles Dodgers,
CN-10,Aaron Judge,New York Yankees,
CN-11,Elly De La Cruz,Cincinnati Reds,
CN-12,Ronald Acuña Jr.,Atlanta Braves,
CN-13,Kyle Schwarber,Philadelphia Phillies,
CN-14,Nolan Ryan,California Angels,
CN-15,Sandy Koufax,Los Angeles Dodgers,
CN-16,Randy Johnson,Arizona Diamondbacks,
CN-17,Ken Griffey Jr.,Seattle Mariners,
CN-18,Mickey Mantle,New York Yankees,
CN-19,Ted Williams,Boston Red Sox,
CN-20,Derek Jeter,New York Yankees,
CN-21,Tony Gwynn,San Diego Padres,
CN-22,Babe Ruth,New York Yankees,
CN-23,Clayton Kershaw,Los Angeles Dodgers,
CN-24,Paul Skenes,Pittsburgh Pirates,
CN-25,Mike Trout,Angels,
