card_number,name,team,designations
HL-1,Mike Trout,Angels,
HL-2,Shohei Ohtani,Los Angeles Dodgers,
HL-3,Aaron Judge,New York Yankees,
HL-4,Bryce Harper,Philadelphia Phillies,
HL-5,Elly De La Cruz,Cincinnati Reds,
HL-6,Ronald Acuña Jr.,Atlanta Braves,
HL-7,Pete Crow-Armstrong,Chicago Cubs,
HL-8,Francisco Lindor,New York Mets,
HL-9,Bobby Witt Jr.,Kansas City Royals,
HL-10,Fernando Tatis Jr.,San Diego Padres,
HL-11,Babe Ruth,New York Yankees,
HL-12,Ken Griffey Jr.,Seattle Mariners,
HL-13,Barry Bonds,Pittsburgh Pirates,
HL-14,Samuel Basallo,Baltimore Orioles,RC
HL-15,Cal Raleigh,Seattle Mariners,
HL-16,Rafael Devers,San Francisco Giants,
HL-17,James Wood,Washington Nationals,
HL-18,Jac Caglianone,Kansas City Royals,RC
HL-19,Roman Anthony,Boston Red Sox,RC
HL-20,Christian Moore,Angels,RC
HL-21,Juan Soto,New York Mets,
HL-22,Julio Rodríguez,Seattle Mariners,
HL-23,Corbin Carroll,Arizona Diamondbacks,
HL-24,Nick Kurtz,Athletics,
HL-25,Hank Aaron,Atlanta Braves,
HL-26,Gunnar Henderson,Baltimore Orioles,
HL-27,Ted Williams,Boston Red Sox,
HL-28,Jackie Robinson,Brooklyn Dodgers,
HL-29,Seiya Suzuki,Chicago Cubs,
HL-30,Colson Montgomery,Chicago White Sox,RC
HL-31,José Ramírez,Cleveland Guardians,
HL-32,Yordan Alvarez,Houston Astros,
HL-33,Freddie Freeman,Los Angeles Dodgers,
HL-34,Pete Alonso,Baltimore Orioles,
HL-35,Mickey Mantle,New York Yankees,
HL-36,Derek Jeter,New York Yankees,
HL-37,Mark McGwire,Oakland Athletics,
HL-38,Kyle Schwarber,Philadelphia Phillies,
HL-39,Mike Schmidt,Philadelphia Phillies,
HL-40,Willie Mays,San Francisco Giants,
HL-41,Munetaka Murakami,Chicago White Sox,RC
HL-42,Albert Pujols,St. Louis Cardinals,
HL-43,Carson Williams,Tampa Bay Rays,RC
HL-44,Vladimir Guerrero Jr.,Toronto Blue Jays,
HL-45,Roberto Clemente,Pittsburgh Pirates,
