card_number,name,team,designations
PAS-1,Mike Trout,Angels,
PAS-2,Ronald Acuña Jr.,Atlanta Braves,
PAS-3,Kyle Tucker,Chicago Cubs,
PAS-4,Jose Altuve,Houston Astros,
PAS-5,Francisco Lindor,New York Mets,
PAS-6,Clayton Kershaw,Los Angeles Dodgers,
PAS-7,Nolan Arenado,St. Louis Cardinals,
PAS-8,Freddie Freeman,Los Angeles Dodgers,
PAS-9,Shohei Ohtani,Los Angeles Dodgers,
PAS-10,Bryce Harper,Philadelphia Phillies,
PAS-11,Mookie Betts,Los Angeles Dodgers,
PAS-12,Juan Soto,New York Mets,
PAS-13,Fernando Tatis Jr.,San Diego Padres,
PAS-14,Aaron Judge,New York Yankees,
PAS-15,Elly De La Cruz,Cincinnati Reds,
PAS-16,José Ramírez,Cleveland Guardians,
PAS-17,Vladimir Guerrero Jr.,Toronto Blue Jays,
PAS-18,Bobby Witt Jr.,Kansas City Royals,
PAS-19,Pete Alonso,New York Mets,
PAS-20,Paul Skenes,Pittsburgh Pirates,
PAS-21,Tarik Skubal,Detroit Tigers,
PAS-22,Chris Sale,Atlanta Braves,
PAS-23,Pete Crow-Armstrong,Chicago Cubs,
PAS-24,Manny Machado,San Diego Padres,
PAS-25,Christian Yelich,Milwaukee Brewers,
