card_number,name,team,designations
SWS-1,Shohei Ohtani,Los Angeles Dodgers,
SWS-2,Aaron Judge,New York Yankees,
SWS-3,Juan Soto,New York Mets,
SWS-4,Vladimir Guerrero Jr.,Toronto Blue Jays,
SWS-5,Julio Rodríguez,Seattle Mariners,
SWS-6,Ronald Acuña Jr.,Atlanta Braves,
SWS-7,Bobby Witt Jr.,Kansas City Royals,
SWS-8,Elly De La Cruz,Cincinnati Reds,
SWS-9,Mike Trout,Angels,
SWS-10,Bryce Harper,Philadelphia Phillies,
SWS-11,Pete Crow-Armstrong,Chicago Cubs,
SWS-12,Cal Raleigh,Seattle Mariners,
SWS-13,Nick Kurtz,Athletics,
SWS-14,Jac Caglianone,Kansas City Royals,RC
SWS-15,Roman Anthony,Boston Red Sox,RC
SWS-16,Samuel Basallo,Baltimore Orioles,RC
SWS-17,Colson Montgomery,Chicago White Sox,RC
SWS-18,Bryce Eldridge,San Francisco Giants,RC
SWS-19,Carson Williams,Tampa Bay Rays,RC
SWS-20,Gunnar Henderson,Baltimore Orioles,
SWS-21,Ken Griffey Jr.,Seattle Mariners,
SWS-22,Willie Mays,New York Giants,
SWS-23,Derek Jeter,New York Yankees,
SWS-24,Mickey Mantle,New York Yankees,
SWS-25,Jackie Robinson,Brooklyn Dodgers,
