card_number,name,team,designations
91C2-1,Pete Alonso,Baltimore Orioles,
91C2-3,Cam Schlittler,New York Yankees,RC
91C2-4,Denzer Guzman,Angels,RC
91C2-6,Mariano Rivera,New York Yankees,
91C2-7,Adley Rutschman,Baltimore Orioles,
91C2-9,Rafael Flores,Pittsburgh Pirates,RC
91C2-10,Alex Freeland,Los Angeles Dodgers,RC
91C2-12,Colson Montgomery,Chicago White Sox,RC
91C2-13,Chase DeLauter,Cleveland Guardians,RC
91C2-14,Blake Snell,Los Angeles Dodgers,
91C2-15,Connelly Early,Boston Red Sox,RC
91C2-16,Brandon Sproat,Milwaukee Brewers,RC
91C2-18,Jimmy Crooks,St. Louis Cardinals,RC
91C2-19,Jackson Chourio,Milwaukee Brewers,
91C2-20,Munetaka Murakami,Chicago White Sox,RC
91C2-21,Hunter Barco,Pittsburgh Pirates,RC
91C2-22,Zach Neto,Angels,
91C2-23,Roki Sasaki,Los Angeles Dodgers,
91C2-24,Jac Caglianone,Kansas City Royals,RC
91C2-25,Chris Sale,Atlanta Braves,
91C2-26,Nolan McLean,New York Mets,RC
91C2-27,Sal Stewart,Cincinnati Reds,RC
91C2-28,Zach Cole,Houston Astros,RC
91C2-30,Dylan Beavers,Baltimore Orioles,RC
91C2-31,Payton Tolle,Boston Red Sox,RC
91C2-32,Bryce Eldridge,San Francisco Giants,RC
91C2-33,Cade Horton,Chicago Cubs,
91C2-34,Chase Burns,Cincinnati Reds,RC
91C2-35,Tatsuya Imai,Houston Astros,RC
91C2-36,Carter Jensen,Kansas City Royals,RC
91C2-37,Samuel Basallo,Baltimore Orioles,RC
91C2-38,Carson Williams,Tampa Bay Rays,RC
91C2-39,Jackson Merrill,San Diego Padres,
91C2-40,Austin Riley,Atlanta Braves,
91C2-41,Jazz Chisholm Jr.,New York Yankees,
91C2-42,Joe Mauer,Minnesota Twins,
91C2-43,Kazuma Okamoto,Toronto Blue Jays,RC
91C2-44,C.J. Kayfus,Cleveland Guardians,RC
91C2-45,Roman Anthony,Boston Red Sox,RC
91C2-46,Trey Yesavage,Toronto Blue Jays,RC
91C2-47,Harry Ford,Washington Nationals,RC
91C2-48,Lawrence Butler,Athletics,
91C2-49,Nolan Ryan,Houston Astros,
91C2-50,Nick Kurtz,Athletics,
