card_number,name,team,designations
FP-1,Shad Mayfield,Texas Rangers,
FP-2,Kelvin Sampson,Houston Astros,
FP-3,Caroline Marks,Angels,
FP-4,Kevin Negandhi,Seattle Mariners,
FP-5,Jesse Eisenberg,Cincinnati Reds,
FP-6,Tony Hawk,San Diego Padres,
FP-7,Jackie Hornung,New York Mets,
FP-8,Alysha Newman,Toronto Blue Jays,
FP-9,Mannie Fresh,Cleveland Guardians,
FP-10,Jerry Seinfeld,New York Mets,
FP-11,Maria Taylor,Atlanta Braves,
FP-12,Yandel,Tampa Bay Rays,
FP-13,Scott Yager,Pittsburgh Pirates,
FP-14,Madison Marilla,Tampa Bay Rays,
FP-15,Hayden Christensen,Chicago Cubs,
