card_number,name,team,designations
M-1,Baxter,Arizona Diamondbacks,
M-2,Wally the Green Monster,Boston Red Sox,
M-3,Mascot,Chicago White Sox,
M-4,Dinger,Colorado Rockies,
M-5,Bernie Brewer,Milwaukee Brewers,
M-6,Rosie Red,Cincinnati Reds,
M-7,Mr. Red,Cincinnati Reds,
M-8,Mariner Moose,Seattle Mariners,
M-9,Sluggerrr,Kansas City Royals,
M-11,Mr. Met,New York Mets,
M-12,Rangers Captain,Texas Rangers,
M-14,Mrs. Met,New York Mets,
M-15,Paws,Detroit Tigers,
M-16,Mascot,Athletics,
M-17,Pirate Parrot,Pittsburgh Pirates,
