card_number,name,team,designations
91ASR-AJ,Aaron Judge,New York Yankees,
91ASR-AM,Andrew McCutchen,Pittsburgh Pirates,
91ASR-AP,Albert Pujols,St. Louis Cardinals,
91ASR-AR,Alex Rodriguez,New York Yankees,
91ASR-BBX,Byron Buxton,Minnesota Twins,
91ASR-BH,Bryce Harper,Philadelphia Phillies,
91ASR-BW,Bobby Witt Jr.,Kansas City Royals,
91ASR-CC,Corbin Carroll,Arizona Diamondbacks,
91ASR-CJ,Chipper Jones,Atlanta Braves,
91ASR-CK,Clayton Kershaw,Los Angeles Dodgers,
91ASR-CR,Cal Ripken Jr.,Baltimore Orioles,
91ASR-CS,Chris Sale,Atlanta Braves,
91ASR-CY,Christian Yelich,Milwaukee Brewers,
91ASR-DJ,Derek Jeter,New York Yankees,
91ASR-DO,David Ortiz,Boston Red Sox,
91ASR-ED,Elly De La Cruz,Cincinnati Reds,
91ASR-FF,Freddie Freeman,Los Angeles Dodgers,
91ASR-FL,Francisco Lindor,New York Mets,
91ASR-FT,Fernando Tatis Jr.,San Diego Padres,
91ASR-FTH,Frank Thomas,Chicago White Sox,
91ASR-GH,Gunnar Henderson,Baltimore Orioles,
91ASR-I,Ichiro,Seattle Mariners,
91ASR-JA,Jose Altuve,Houston Astros,
91ASR-JM,Jackson Merrill,San Diego Padres,
91ASR-JMI,Jacob Misiorowski,Milwaukee Brewers,RC
91ASR-JR,Julio Rodríguez,Seattle Mariners,
91ASR-JS,Juan Soto,New York Mets,
91ASR-JW,James Wood,Washington Nationals,
91ASR-JWI,Jacob Wilson,Athletics,
91ASR-KG,Ken Griffey Jr.,Seattle Mariners,
91ASR-KP,Kirby Puckett,Minnesota Twins,
91ASR-KS,Kyle Schwarber,Philadelphia Phillies,
91ASR-MB,Mookie Betts,Los Angeles Dodgers,
91ASR-MC,Miguel Cabrera,Detroit Tigers,
91ASR-MM,Manny Machado,San Diego Padres,
91ASR-MO,Matt Olson,Atlanta Braves,
91ASR-MP,Mike Piazza,New York Mets,
91ASR-MR,Mariano Rivera,New York Yankees,
91ASR-MS,Mike Schmidt,Philadelphia Phillies,
91ASR-MT,Mike Trout,Angels,
91ASR-NA,Nolan Arenado,St. Louis Cardinals,
91ASR-PC,Pete Crow-Armstrong,Chicago Cubs,
91ASR-PS,Paul Skenes,Pittsburgh Pirates,
91ASR-RA,Ronald Acuña Jr.,Atlanta Braves,
91ASR-SO,Shohei Ohtani,Los Angeles Dodgers,
91ASR-SS,Sammy Sosa,Chicago Cubs,
91ASR-TG,Tony Gwynn,San Diego Padres,
91ASR-TT,Trea Turner,Philadelphia Phillies,
91ASR-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
91ASR-VGU,Vladimir Guerrero,Montréal Expos,
