card_number,name,team,designations
MLMA-AB,Alex Bregman,Boston Red Sox,
MLMA-AG,Adolis García,Texas Rangers,
MLMA-AK,Alejandro Kirk,Toronto Blue Jays,
MLMA-AN,Aaron Nola,Philadelphia Phillies,
MLMA-ARI,Austin Riley,Atlanta Braves,
MLMA-ARU,Adley Rutschman,Baltimore Orioles,
MLMA-AV,Anthony Volpe,New York Yankees,
MLMA-AW,Austin Wells,New York Yankees,
MLMA-BBX,Byron Buxton,Minnesota Twins,
MLMA-BC,Bubba Chandler,Pittsburgh Pirates,RC
MLMA-BH,Brady House,Washington Nationals,RC
MLMA-BL,Brooks Lee,Minnesota Twins,
MLMA-BMA,Brice Matthews,Houston Astros,RC
MLMA-BN,Brandon Nimmo,New York Mets,
MLMA-BR,Bryan Reynolds,Pittsburgh Pirates,
MLMA-BRI,Ben Rice,New York Yankees,
MLMA-BRO,Brent Rooker,Athletics,
MLMA-BS,Bryson Stott,Philadelphia Phillies,
MLMA-BW,Bobby Witt Jr.,Kansas City Royals,
MLMA-CA,CJ Abrams,Washington Nationals,
MLMA-CB,Chase Burns,Cincinnati Reds,RC
MLMA-CC,Corbin Carroll,Arizona Diamondbacks,
MLMA-CMO,Colson Montgomery,Chicago White Sox,RC
MLMA-COL,Colby Thomas,Athletics,RC
MLMA-CRO,Carlos Rodón,New York Yankees,
MLMA-CW,Carson Williams,Tampa Bay Rays,RC
MLMA-DS,Dansby Swanson,Chicago Cubs,
MLMA-DV,Daulton Varsho,Toronto Blue Jays,
MLMA-EC,Evan Carter,Texas Rangers,
MLMA-FF,Freddie Freeman,Los Angeles Dodgers,
MLMA-FP,Freddy Peralta,Milwaukee Brewers,
MLMA-FRE,Alex Freeland,Los Angeles Dodgers,RC
MLMA-FT,Fernando Tatis Jr.,San Diego Padres,
MLMA-GH,Gunnar Henderson,Baltimore Orioles,
MLMA-GS,George Springer,Toronto Blue Jays,
MLMA-HK,Hyeseong Kim,Los Angeles Dodgers,
MLMA-JA,Jose Altuve,Houston Astros,
MLMA-JC,Junior Caminero,Tampa Bay Rays,
MLMA-JCA,Jac Caglianone,Kansas City Royals,RC
MLMA-JCH,Jackson Chourio,Milwaukee Brewers,
MLMA-JCJ,Jazz Chisholm Jr.,New York Yankees,
MLMA-JD,Jasson Domínguez,New York Yankees,
MLMA-JHL,Jung Hoo Lee,San Francisco Giants,
MLMA-JL,Josh Lowe,Tampa Bay Rays,
MLMA-JM,Jackson Merrill,San Diego Padres,
MLMA-JMI,Jacob Misiorowski,Milwaukee Brewers,RC
MLMA-JR,Julio Rodríguez,Seattle Mariners,
MLMA-KT,Kyle Teel,Chicago White Sox,RC
MLMA-KTU,Kyle Tucker,Chicago Cubs,
MLMA-LA,Luis Arraez,San Diego Padres,
MLMA-LB,Lawrence Butler,Athletics,
MLMA-LC,Luis Castillo,Seattle Mariners,
MLMA-LN,Lars Nootbaar,St. Louis Cardinals,
MLMA-LW,Logan Webb,San Francisco Giants,
MLMA-MC,Matt Chapman,San Francisco Giants,
MLMA-MH,Michael Harris II,Atlanta Braves,
MLMA-MM,Manny Machado,San Diego Padres,
MLMA-MT,Mike Trout,Angels,
MLMA-MW,Masyn Winn,St. Louis Cardinals,
MLMA-NH,Nico Hoerner,Chicago Cubs,
MLMA-NK,Nick Kurtz,Athletics,
MLMA-NS,Nolan Schanuel,Angels,
MLMA-OA,Ozzie Albies,Atlanta Braves,
MLMA-PA,Pete Alonso,New York Mets,
MLMA-PB,Patrick Bailey,San Francisco Giants,
MLMA-PS,Paul Skenes,Pittsburgh Pirates,
MLMA-RA,Randy Arozarena,Seattle Mariners,
MLMA-RAJ,Ronald Acuña Jr.,Atlanta Braves,
MLMA-RG,Riley Greene,Detroit Tigers,
MLMA-RL,Royce Lewis,Minnesota Twins,
MLMA-RS,Roki Sasaki,Los Angeles Dodgers,
MLMA-RY,Ryan Ritter,Colorado Rockies,RC
MLMA-SF,Sal Frelick,Milwaukee Brewers,
MLMA-SI,Shota Imanaga,Chicago Cubs,
MLMA-SS,Spencer Strider,Atlanta Braves,
MLMA-SSC,Spencer Schwellenbach,Atlanta Braves,
MLMA-TH,Teoscar Hernández,Los Angeles Dodgers,
MLMA-TM,Troy Melton,Detroit Tigers,RC
MLMA-TS,Tarik Skubal,Detroit Tigers,
MLMA-TSO,Tyler Soderstrom,Athletics,
MLMA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays,
MLMA-WC,William Contreras,Milwaukee Brewers,
MLMA-WHI,Carson Whisenhunt,San Francisco Giants,RC
MLMA-WL,Wyatt Langford,Texas Rangers,
MLMA-WS,Will Smith,Los Angeles Dodgers,
MLMA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers,
