card_number,name,team,designations
MAS-ATH,Mascot,Athletics,
MAS-BBR,Bernie Brewer,Milwaukee Brewers,
MAS-BLO,Blooper,Atlanta Braves,
MAS-BX,Baxter,Arizona Diamondbacks,
MAS-CAP,Rangers Captain,Texas Rangers,
MAS-CLK,Clark,Chicago Cubs,
MAS-CWS,Mascot,Chicago White Sox,
MAS-DIN,Dinger,Colorado Rockies,
MAS-MOS,Mariner Moose,Seattle Mariners,
MAS-MRM,Mr. Met,New York Mets,
MAS-MRR,Mr. Red,Cincinnati Reds,
MAS-MRS,Mrs. Met,New York Mets,
MAS-ORB,Orbit,Houston Astros,
MAS-PAW,Paws,Detroit Tigers,
MAS-PIR,Pirate Parrot,Pittsburgh Pirates,
MAS-RAY,Raymond,Tampa Bay Rays,
MAS-ROS,Rosie Red,Cincinnati Reds,
MAS-SCR,Screech,Washington Nationals,
MAS-SLG,Sluggerrr,Kansas City Royals,
MAS-TCB,T.C. Bear,Minnesota Twins,
MAS-WGM,Wally the Green Monster,Boston Red Sox,
