card_number,name,team,designations
1,Aaron Judge,New York Yankees,
5,Nico Hoerner,Chicago Cubs,
10,Jacob Misiorowski,Milwaukee Brewers,RC
16,Casey Mize,Detroit Tigers,
20,Vladimir Guerrero Jr.,Toronto Blue Jays,
22,Clayton Kershaw,Los Angeles Dodgers,
33,Xander Bogaerts,San Diego Padres,
35,C.J. Kayfus,Cleveland Guardians,RC
39,Matt Olson,Atlanta Braves,
41,Mookie Betts,Los Angeles Dodgers,
43,Nolan Schanuel,Angels,
46,Gunnar Henderson,Baltimore Orioles,
50,Ronald Acuña Jr.,Atlanta Braves,
62,Bryan Woo,Seattle Mariners,
69,Logan Webb,San Francisco Giants,
73,Jimmy Crooks,St. Louis Cardinals,RC
74,Alex Freeland,Los Angeles Dodgers,RC
79,Spencer Strider,Atlanta Braves,
82,Carlos Rodón,New York Yankees,
92,Jackson Holliday,Baltimore Orioles,
94,Yu Darvish,San Diego Padres,
97,Nick Kurtz,Athletics,
100,Paul Skenes,Pittsburgh Pirates,
101,Ceddanne Rafaela,Boston Red Sox,
115,Royce Lewis,Minnesota Twins,
116,Yanquiel Fernández,Colorado Rockies,RC
123,Francisco Lindor,New York Mets,
129,Cole Young,Seattle Mariners,RC
131,Andrew McCutchen,Pittsburgh Pirates,
138,Jac Caglianone,Kansas City Royals,RC
139,Jo Adell,Angels,
140,Cal Raleigh,Seattle Mariners,
144,Javier Báez,Detroit Tigers,
146,Julio Rodríguez,Seattle Mariners,
147,Christian Moore,Angels,RC
148,Jacob Melton,Houston Astros,RC
152,CJ Abrams,Washington Nationals,
154,Christian Yelich,Milwaukee Brewers,
155,Drew Gilbert,San Francisco Giants,RC
157,Colson Montgomery,Chicago White Sox,RC
166,Colton Cowser,Baltimore Orioles,
170,Brady House,Washington Nationals,RC
178,Shota Imanaga,Chicago Cubs,
180,Willson Contreras,St. Louis Cardinals,
184,Carson Whisenhunt,San Francisco Giants,RC
189,Roman Anthony,Boston Red Sox,RC
196,Pete Crow-Armstrong,Chicago Cubs,
200,Shohei Ohtani,Los Angeles Dodgers,
205,Bobby Witt Jr.,Kansas City Royals,
209,Riley Greene,Detroit Tigers,
213,Colby Thomas,Athletics,RC
229,Jackson Merrill,San Diego Padres,
238,Austin Riley,Atlanta Braves,
240,Jacob Wilson,Athletics,
246,Oneil Cruz,Pittsburgh Pirates,
250,Bryce Harper,Philadelphia Phillies,
255,Byron Buxton,Minnesota Twins,
257,Geraldo Perdomo,Arizona Diamondbacks,
261,Zack Wheeler,Philadelphia Phillies,
264,Hunter Brown,Houston Astros,
270,Max Fried,New York Yankees,
278,Jose Altuve,Houston Astros,
284,José Ramírez,Cleveland Guardians,
300,Tarik Skubal,Detroit Tigers,
307,Jeremy Peña,Houston Astros,
308,Anthony Volpe,New York Yankees,
310,Michael Harris II,Atlanta Braves,
314,Corbin Carroll,Arizona Diamondbacks,
322,Trea Turner,Philadelphia Phillies,
324,Lawrence Butler,Athletics,
328,Junior Caminero,Tampa Bay Rays,
333,Fernando Tatis Jr.,San Diego Padres,
337,Francisco Alvarez,New York Mets,
339,Dylan Beavers,Baltimore Orioles,RC
341,Giancarlo Stanton,New York Yankees,
350,Mike Trout,Angels,
72,Coby Mayo,Baltimore Orioles,FS
125,Kristian Campbell,Boston Red Sox,FS
275,Luisangel Acuña,New York Mets,FS
296,Hayden Birdsong,San Francisco Giants,FS
352,Spencer Torkelson,Detroit Tigers,
358,Adley Rutschman,Baltimore Orioles,
363,J.T. Realmuto,Philadelphia Phillies,
368,Kyle Tucker,Los Angeles Dodgers,
371,Brent Rooker,Athletics,
372,Sal Stewart,Cincinnati Reds,RC
382,Hunter Greene,Cincinnati Reds,
383,Wyatt Langford,Texas Rangers,
393,Jazz Chisholm Jr.,New York Yankees,
400,Pete Alonso,Baltimore Orioles,
415,Justin Verlander,Detroit Tigers,
423,Luis Robert Jr.,New York Mets,
427,Chris Sale,Atlanta Braves,
431,Randy Arozarena,Seattle Mariners,
441,Lars Nootbaar,St. Louis Cardinals,
448,Jackson Chourio,Milwaukee Brewers,
450,Gerrit Cole,New York Yankees,
455,George Springer,Toronto Blue Jays,
459,Ketel Marte,Arizona Diamondbacks,
468,Yordan Alvarez,Houston Astros,
471,J.P. Crawford,Seattle Mariners,
473,Bo Bichette,New York Mets,
500,Shohei Ohtani,Los Angeles Dodgers,
526,Masyn Winn,St. Louis Cardinals,
533,Jasson Domínguez,New York Yankees,
536,Trevor Story,Boston Red Sox,
541,Jung Hoo Lee,San Francisco Giants,
550,Dansby Swanson,Chicago Cubs,
560,Jarren Duran,Boston Red Sox,
561,Matt Chapman,San Francisco Giants,
568,Ozzie Albies,Atlanta Braves,
569,Max Scherzer,Toronto Blue Jays,
600,Juan Soto,New York Mets,
607,Cody Bellinger,New York Yankees,
614,Manny Machado,San Diego Padres,
629,Tyler Glasnow,Los Angeles Dodgers,
631,Will Smith,Los Angeles Dodgers,
632,Cade Horton,Chicago Cubs,
633,Salvador Perez,Kansas City Royals,
650,Kyle Schwarber,Philadelphia Phillies,
675,Steven Kwan,Cleveland Guardians,
680,Carlos Correa,Houston Astros,
685,Seiya Suzuki,Chicago Cubs,
692,Drake Baldwin,Atlanta Braves,
700,Freddie Freeman,Los Angeles Dodgers,
