card_number,name,team,designations
1,Babe Ruth,New York Yankees,
5,Ryne Sandberg,Chicago Cubs,
7,Buster Posey,San Francisco Giants,
8,Barry Bonds,San Francisco Giants,
10,Randy Johnson,Arizona Diamondbacks,
20,Vladimir Guerrero,Montréal Expos,
27,Ernie Banks,Chicago Cubs,
33,Tony Gwynn,San Diego Padres,
41,Jackie Robinson,Brooklyn Dodgers,
46,Cal Ripken Jr.,Baltimore Orioles,
50,Hank Aaron,Atlanta Braves,
53,Roger Clemens,Boston Red Sox,
65,Carl Yastrzemski,Boston Red Sox,
72,Eddie Murray,Baltimore Orioles,
78,Ivan Rodriguez,Texas Rangers,
79,Greg Maddux,Atlanta Braves,
81,Barry Larkin,Cincinnati Reds,
85,Rod Carew,Minnesota Twins,
96,Adrian Beltré,Texas Rangers,
97,Reggie Jackson,Oakland Athletics,
103,Roy Campanella,Brooklyn Dodgers,
105,Robin Yount,Milwaukee Brewers,
121,Jeff Bagwell,Houston Astros,
131,Roberto Clemente,Pittsburgh Pirates,
138,Bo Jackson,Kansas City Royals,
140,Edgar Martinez,Seattle Mariners,
144,Hank Greenberg,Detroit Tigers,
146,Ken Griffey Jr.,Seattle Mariners,
155,Mel Ott,Giants,
173,Nolan Ryan,California Angels,
189,David Ortiz,Boston Red Sox,
193,Ozzie Smith,St. Louis Cardinals,
195,Larry Walker,Colorado Rockies,
209,Ty Cobb,Detroit Tigers,
215,Tom Seaver,New York Mets,
219,Willie Mays,San Francisco Giants,
221,Stan Musial,St. Louis Cardinals,
238,Chipper Jones,Atlanta Braves,
246,Willie Stargell,Pittsburgh Pirates,
250,Ryan Howard,Philadelphia Phillies,
255,Kirby Puckett,Minnesota Twins,
293,Miguel Cabrera,Florida Marlins,
308,Derek Jeter,New York Yankees,
322,Mike Schmidt,Philadelphia Phillies,
324,Rickey Henderson,Oakland Athletics,
329,Frank Thomas,Chicago White Sox,
333,Dave Winfield,San Diego Padres,
337,Mike Piazza,New York Mets,
341,Mickey Mantle,New York Yankees,
345,Shoeless Joe Jackson,Chicago White Sox,
349,Andre Dawson,Montréal Expos,
351,Al Kaline,Detroit Tigers,
352,Miguel Cabrera,Detroit Tigers,
358,Josh Gibson,Pittsburgh,
365,Johnny Bench,Cincinnati Reds,
371,Mark McGwire,Oakland Athletics,
393,Alex Rodriguez,New York Yankees,
396,Warren Spahn,Milwaukee Braves,
414,Mike Piazza,Los Angeles Dodgers,
415,Christy Mathewson,New York Giants,
423,Tim Raines,Chicago White Sox,
425,Yogi Berra,New York Yankees,
427,Tom Glavine,Atlanta Braves,
431,Ichiro,Seattle Mariners,
441,Johnny Mize,St. Louis Cardinals,
450,Nolan Ryan,Texas Rangers,
460,Carlton Fisk,Boston Red Sox,
463,Steve Carlton,Philadelphia Phillies,
465,Luis Gonzalez,Arizona Diamondbacks,
468,Craig Biggio,Houston Astros,
483,Rod Carew,California Angels,
489,Harmon Killebrew,Minnesota Twins,
493,Randy Johnson,Seattle Mariners,
500,Honus Wagner,Pittsburgh Pirates,
504,Tris Speaker,Boston Red Sox,
532,Walter Johnson,Washington Senators,
533,Reggie Jackson,New York Yankees,
536,Wade Boggs,Boston Red Sox,
542,Paul Molitor,Milwaukee Brewers,
549,Rickey Henderson,New York Yankees,
560,Ted Williams,Boston Red Sox,
561,Will Clark,San Francisco Giants,
562,Chase Utley,Philadelphia Phillies,
569,Roger Clemens,Toronto Blue Jays,
573,Albert Pujols,St. Louis Cardinals,
587,Rogers Hornsby,St. Louis Cardinals,
597,Lou Gehrig,New York Yankees,
613,Brooks Robinson,Baltimore Orioles,
618,Bob Feller,Cleveland,
620,Bob Gibson,St. Louis Cardinals,
629,Sandy Koufax,Los Angeles Dodgers,
631,Duke Snider,Brooklyn Dodgers,
632,Greg Maddux,Chicago Cubs,
633,George Brett,Kansas City Royals,
646,Darryl Strawberry,New York Mets,
656,Pedro Martinez,Boston Red Sox,
670,Jimmie Foxx,Boston Red Sox,
673,John Smoltz,Atlanta Braves,
677,Manny Ramirez,Boston Red Sox,
685,Sammy Sosa,Chicago Cubs,
692,Dale Murphy,Atlanta Braves,
