card_number,name,team,designations
4,Jonah Tong,New York Mets,RC
10,Jacob Misiorowski,Milwaukee Brewers,RC
15,Payton Tolle,Boston Red Sox,RC
25,Carson Williams,Tampa Bay Rays,RC
35,C.J. Kayfus,Cleveland Guardians,RC
74,Alex Freeland,Los Angeles Dodgers,RC
104,Samuel Basallo,Baltimore Orioles,RC
111,Cam Schlittler,New York Yankees,RC
129,Cole Young,Seattle Mariners,RC
132,Brice Matthews,Houston Astros,RC
138,Jac Caglianone,Kansas City Royals,RC
147,Christian Moore,Angels,RC
148,Jacob Melton,Houston Astros,RC
155,Drew Gilbert,San Francisco Giants,RC
157,Colson Montgomery,Chicago White Sox,RC
170,Brady House,Washington Nationals,RC
189,Roman Anthony,Boston Red Sox,RC
201,Kyle Teel,Chicago White Sox,RC
213,Colby Thomas,Athletics,RC
214,Nolan McLean,New York Mets,RC
233,Owen Caissie,Chicago Cubs,RC
283,Bubba Chandler,Pittsburgh Pirates,RC
312,Chase Burns,Cincinnati Reds,RC
316,Jhostynxon Garcia,Boston Red Sox,RC
339,Dylan Beavers,Baltimore Orioles,RC
